date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:23	12719/12719	---M-Z	200	added ('OK')	application/javascript	etag:W/%2231af-0j/CZInGJ+zT4ZU29sro9JLyIgA%22	https://cdn.jsdelivr.net/gh/studio-freight/lenis@1/bundled/lenis.min.js	C:/My%20Web%20Sites/Site/cdn.jsdelivr.net/gh/studio-freight/lenis@1/bundled/lenis.min.js	(from https://www.fernandopuente.es/)
16:04:24	12941/12941	---M--	200	added ('OK')	text/javascript	date:Sun,%2019%20May%202024%2018:57:47%20GMT	https://www.fernandopuente.es/assets/js/bundle.min.js	C:/My%20Web%20Sites/Site/www.fernandopuente.es/assets/js/bundle.min.js	(from https://www.fernandopuente.es/)
16:04:24	2319/2319	---M--	200	added ('OK')	text/javascript	date:Sun,%2019%20May%202024%2018:57:47%20GMT	https://www.fernandopuente.es/assets/js/index.min.js	C:/My%20Web%20Sites/Site/www.fernandopuente.es/assets/js/index.min.js	(from https://www.fernandopuente.es/)
16:04:24	5/5	---M--	200	added ('OK')	text/css	etag:%2264c3bb17-5%22	https://p.typekit.net/p.css?s=1&k=yaq2dxp&ht=tk&f=15895.43903.30341.30342.30343.30344.30345.30346&a=16613889&app=typekit&e=css	C:/My%20Web%20Sites/Site/p.typekit.net/p1ec1.css	(from https://use.typekit.net/yaq2dxp.css)
16:04:24	31984/31984	---M--	200	added ('OK')	application/font-woff2	etag:%22b8fe173b02c06f8c0dff976524e5b96b94555160%22	https://use.typekit.net/af/7d382a/00000000000000007735a11b/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/7d382a/00000000000000007735a11b/30/le196	(from https://use.typekit.net/yaq2dxp.css)
16:04:25	36960/36960	---M--	200	added ('OK')	application/font-woff	etag:%22b8fe173b02c06f8c0dff976524e5b96b94555160%22	https://use.typekit.net/af/7d382a/00000000000000007735a11b/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/7d382a/00000000000000007735a11b/30/de196	(from https://use.typekit.net/yaq2dxp.css)
16:04:26	63224/63224	---M-Z	200	added ('OK')	font/opentype	etag:W/%22b8fe173b02c06f8c0dff976524e5b96b94555160%22	https://use.typekit.net/af/7d382a/00000000000000007735a11b/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/7d382a/00000000000000007735a11b/30/ae196	(from https://use.typekit.net/yaq2dxp.css)
16:04:26	22804/22804	---M--	200	added ('OK')	application/font-woff2	etag:%220b0ba628fc1110ed478b22a33b22d608b7ddf974%22	https://use.typekit.net/af/275cbc/00000000000000007735a125/30/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/275cbc/00000000000000007735a125/30/l652f	(from https://use.typekit.net/yaq2dxp.css)
16:04:27	46612/46612	---M-Z	200	added ('OK')	font/opentype	etag:W/%220b0ba628fc1110ed478b22a33b22d608b7ddf974%22	https://use.typekit.net/af/275cbc/00000000000000007735a125/30/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/275cbc/00000000000000007735a125/30/a652f	(from https://use.typekit.net/yaq2dxp.css)
16:04:27	26896/26896	---M--	200	added ('OK')	application/font-woff	etag:%220b0ba628fc1110ed478b22a33b22d608b7ddf974%22	https://use.typekit.net/af/275cbc/00000000000000007735a125/30/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/275cbc/00000000000000007735a125/30/d652f	(from https://use.typekit.net/yaq2dxp.css)
16:04:27	28012/28012	---M--	200	added ('OK')	application/font-woff2	etag:%222da08dfabf5d4227ef32e663e972a6ea1930ee04%22	https://use.typekit.net/af/eda66c/00000000000000003b9ae4cc/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/eda66c/00000000000000003b9ae4cc/27/laf99	(from https://use.typekit.net/yaq2dxp.css)
16:04:28	31452/31452	---M--	200	added ('OK')	application/font-woff	etag:%222da08dfabf5d4227ef32e663e972a6ea1930ee04%22	https://use.typekit.net/af/eda66c/00000000000000003b9ae4cc/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i5&v=3	C:/My%20Web%20Sites/Site/use.typekit.net/af/eda66c/00000000000000003b9ae4cc/27/daf99	(from https://use.typekit.net/yaq2dxp.css)
